experiment,model,feature_tier,split,seed,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_val,n_test,n_features,train_positive_rate,test_positive_rate,status,train_seconds,inference_seconds,warning_count,convergence_warning_count,warning_messages,model_path,error_type,error_message,f1,macro_f1,balanced_accuracy,mcc,brier_score,ece,auroc,auprc
cse_cic2018_fullsample_s42,logistic_regression,deployment_safe,random_stratified,42,,beb3edbb6d40db8b,d2a1e637f6c65ede,ff71a6ea4d248f23,254553,54547,54548,77,0.7800065212352634,0.780010266187578,completed,44.56976427399968,0.2526275159998477,0,0,,,,,0.9226788469247683,0.8424874236117661,0.871534196671994,0.6926001718754361,0.09430836022826136,0.10270957181530038,0.9411480710021622,0.9824482030833339
cse_cic2018_fullsample_s42,hist_gradient_boosting,deployment_safe,random_stratified,42,,beb3edbb6d40db8b,d2a1e637f6c65ede,ff71a6ea4d248f23,254553,54547,54548,77,0.7800065212352634,0.780010266187578,completed,22.684464595000463,0.6226354179998452,0,0,,,,,0.9704461121783017,0.9362375717716253,0.9530323046911724,0.874480953000088,0.032940429922485776,0.008715759724291958,0.9898943428598289,0.9972647284843458
cse_cic2018_fullsample_s42,random_forest,deployment_safe,random_stratified,42,,beb3edbb6d40db8b,d2a1e637f6c65ede,ff71a6ea4d248f23,254553,54547,54548,77,0.7800065212352634,0.780010266187578,completed,38.055242001000806,1.6397866190000059,0,0,,,,,0.9614550188024299,0.919528795377945,0.9464142654570524,0.8442280165987162,0.043946110878958534,0.018772927899003148,0.9807418601736076,0.9950116205286683
cse_cic2018_fullsample_s42,logistic_regression,deployment_safe,temporal,42,,beb3edbb6d40db8b,d2a1e637f6c65ede,1970949da87cd3f3,254553,54547,54548,77,0.7794093960786163,0.8849270367382855,completed,36.52927009800078,0.2450118159995327,0,0,,,,,0.5126786396637371,0.3913030257236503,0.6432089340983621,0.19685010715479254,0.6369206609600182,0.7051373331390159,0.6088337119118052,0.9177824945530051
cse_cic2018_fullsample_s42,hist_gradient_boosting,deployment_safe,temporal,42,,beb3edbb6d40db8b,d2a1e637f6c65ede,1970949da87cd3f3,254553,54547,54548,77,0.7794093960786163,0.8849270367382855,completed,21.61627988500004,0.6201256179992924,0,0,,,,,0.0009937888198757764,0.10366157629690413,0.4998503170329368,-0.004144275817288529,0.8834112044301341,0.8838543499747382,0.7709189805457752,0.9538018895847158
cse_cic2018_fullsample_s42,random_forest,deployment_safe,temporal,42,,beb3edbb6d40db8b,d2a1e637f6c65ede,1970949da87cd3f3,254553,54547,54548,77,0.7794093960786163,0.8849270367382855,completed,23.542442998001206,0.39022222499988857,0,0,,,,,0.0034737299174989146,0.10495916584953371,0.500232840537694,0.0036215210927710525,0.802265223803553,0.6405555457313066,0.8092321583429717,0.9538215511383903
cse_cic2018_fullsample_s42,logistic_regression,deployment_safe,day_holdout_2018-03-02,42,,beb3edbb6d40db8b,d2a1e637f6c65ede,56c2cdb35da6bdfd,269775,59219,34654,77,0.7709795199703456,0.865700929185664,completed,44.22491730399997,0.12206117899950186,0,0,,,,,0.6154795647801042,0.4786709248000678,0.6937645108150694,0.27009889905893575,0.5040170197072977,0.6147178815891104,0.5537507878527432,0.8897096647215188
cse_cic2018_fullsample_s42,hist_gradient_boosting,deployment_safe,day_holdout_2018-03-02,42,,beb3edbb6d40db8b,d2a1e637f6c65ede,56c2cdb35da6bdfd,269775,59219,34654,77,0.7709795199703456,0.865700929185664,completed,18.86052421199929,0.5036248529995646,0,0,,,,,0.9430641121115699,0.8070171890761293,0.8328335482022633,0.617982592280631,0.11835377215298958,0.21631927662325406,0.8407482523993697,0.965545704445957
cse_cic2018_fullsample_s42,random_forest,deployment_safe,day_holdout_2018-03-02,42,,beb3edbb6d40db8b,d2a1e637f6c65ede,56c2cdb35da6bdfd,269775,59219,34654,77,0.7709795199703456,0.865700929185664,completed,34.71060974000102,0.4173918619999313,0,0,,,,,0.960012346102404,0.8739097217318208,0.9316337988826816,0.7615183697265248,0.13695627240376373,0.28119732748845255,0.9545898868356968,0.9879979021139894
cse_cic2018_fullsample_s42,logistic_regression,deployment_safe,scenario_holdout_Web,42,,beb3edbb6d40db8b,d2a1e637f6c65ede,583b5d391fba092d,284310,62410,16928,77,0.8154127536843586,0.054820415879017016,completed,48.21911445600017,0.13250024300032237,0,0,,,,,0.1993873572820941,0.5521965697694131,0.6208566810344828,0.15111694573788204,0.10489522072574753,0.1385279266195539,0.6370473464439657,0.112557152313118
cse_cic2018_fullsample_s42,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,42,,beb3edbb6d40db8b,d2a1e637f6c65ede,583b5d391fba092d,284310,62410,16928,77,0.8154127536843586,0.054820415879017016,completed,16.23181527700035,0.16684082100073283,0,0,,,,,0.4725,0.7161266531027467,0.7772144396551725,0.44789618549710963,0.08245664264101109,0.14727629902236028,0.8530044113685344,0.3832738774015237
cse_cic2018_fullsample_s42,random_forest,deployment_safe,scenario_holdout_Web,42,,beb3edbb6d40db8b,d2a1e637f6c65ede,583b5d391fba092d,284310,62410,16928,77,0.8154127536843586,0.054820415879017016,completed,33.89100374000009,0.3232922189999954,0,0,,,,,0.20614469772051536,0.5779137333693349,0.5845064655172414,0.15674384446797632,0.07817832041052492,0.10789496364965931,0.7166588429418104,0.1815885301370711
