experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features,task,train_seconds,inference_seconds,warning_count,convergence_warning_count,macro_f1,weighted_f1,balanced_accuracy,mcc,num_labels
advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,multiclass_label,692.5938268650007,1.554589601999396,0,0,0.4488883180765111,0.917230360204204,0.9426821984764076,0.7829185845751038,14
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,multiclass_label,59.15464763300042,2.8373310009992565,0,0,0.7032527306289372,0.9907119500266001,0.7307988555086624,0.9755488929874229,14
advanced_core_s7,7,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,multiclass_label,698.0908441840002,1.4291754570003832,0,0,0.04532847910048388,0.16208574086348337,0.22998852947923837,0.11865125396234127,12
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,multiclass_label,48.62149752900041,1.845776420999755,0,0,0.04956641551377072,0.16246978856559005,0.24420050470291352,0.12800288616747518,11
advanced_core_s7,7,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,multiclass_label,569.165653991,2.517729348001012,0,0,0.054558274573481134,0.4437880409062416,0.22452018939747653,0.14461028618624924,14
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,multiclass_label,45.81714634799937,3.816878738000014,0,0,0.05239059708947882,0.42615571379431444,0.248526511801638,0.0011536863818688867,14
advanced_core_s7,7,logistic_regression,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,a2cc81896f713cd5,1702884,361363,115,multiclass_label,616.6593886970004,1.4728603639996436,0,0,0.06675762888893635,0.923961437855015,0.22090948279481704,0.039878526997727204,14
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,a2cc81896f713cd5,1702884,361363,115,multiclass_label,53.60875042999942,2.129305618000217,0,0,0.076308100932465,0.9807061645482912,0.24881944425005667,0.009712790818019481,13
advanced_core_s7,7,logistic_regression,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,d8b72d643bafef8f,1985575,199556,115,multiclass_label,918.7761039419984,0.7872045330004767,0,0,0.3229921550542531,0.893520704353886,0.710267021911497,0.6635898949186152,13
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,d8b72d643bafef8f,1985575,199556,115,multiclass_label,64.46489088800081,1.3562380600014876,0,0,0.4051517092196986,0.9876256118665051,0.5039086572055093,0.9567783674793808,13
