experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features,bin,bin_lower,bin_upper,count,confidence_mean,positive_rate,abs_gap
advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,0,0.0,0.1,229358,0.00612939478548406,0.003902196566067022,0.0022271982194170385
advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,1,0.1,0.2,10540,0.14191882059845104,0.016413662239089185,0.12550515835936185
advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,2,0.2,0.30000000000000004,6746,0.243910679276394,0.0563296768455381,0.1875810024308559
advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,3,0.30000000000000004,0.4,4220,0.35812678364908074,0.06872037914691943,0.2894064045021613
advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,4,0.4,0.5,2138,0.4409815854600494,0.2871842843779233,0.15379730108212608
advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,5,0.5,0.6000000000000001,2602,0.5352153395133773,0.04073789392774789,0.4944774455856294
advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,6,0.6000000000000001,0.7000000000000001,3151,0.6532178069360286,0.0926689939701682,0.5605488129658605
advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,7,0.7000000000000001,0.8,8096,0.7669339643905747,0.4955533596837945,0.2713806047067802
advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,8,0.8,0.9,22360,0.8378859192616332,0.745706618962433,0.0921793002992003
advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,9,0.9,1.0,76497,0.9798395052898824,0.9717505261644247,0.008088979125457696
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,0,0.0,0.1,266057,0.0006654998207801396,0.00011651638558654725,0.0005489834351935923
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,1,0.1,0.2,513,0.14445574297460953,0.11695906432748537,0.027496678647124156
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,2,0.2,0.30000000000000004,534,0.22697536430211646,0.2397003745318352,0.012725010229718753
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,3,0.30000000000000004,0.4,557,0.36645442754693247,0.39317773788150806,0.02672331033457559
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,4,0.4,0.5,311,0.4630643939660495,0.4887459807073955,0.02568158674134602
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,5,0.5,0.6000000000000001,206,0.5597977175774942,0.558252427184466,0.001545290393028198
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,6,0.6000000000000001,0.7000000000000001,308,0.6142079525345197,0.6038961038961039,0.010311848638415722
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,7,0.7000000000000001,0.8,982,0.7728668580746407,0.7718940936863544,0.0009727643882863068
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,8,0.8,0.9,305,0.8650696429511273,0.898360655737705,0.033291012786577645
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,9,0.9,1.0,95935,0.9977853344505488,0.9991035597018815,0.0013182252513326276
advanced_core_s7,7,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,0,0.0,0.1,186796,0.008398849101653231,0.4387245979571297,0.4303257488554765
advanced_core_s7,7,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,1,0.1,0.2,5976,0.13729204262469455,0.5145582329317269,0.37726619030703235
advanced_core_s7,7,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,2,0.2,0.30000000000000004,80709,0.2569509565899398,0.9948085095838135,0.7378575529938737
