experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features,task,train_seconds,inference_seconds,warning_count,convergence_warning_count,f1,macro_f1,balanced_accuracy,mcc,brier_score,ece,auroc,auprc
advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,binary,143.3770154319991,1.3356820440003503,0,0,0.906698087211015,0.9345003514386854,0.9557143131961103,0.8735946258689933,0.038843093445427655,0.034396606000015234,0.9897763947057776,0.9706870003630174
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115,binary,75.34363536199999,3.2012430759987183,0,0,0.9941485770403257,0.9960069411396423,0.9959489472808771,0.992013913704587,0.002205223019906186,0.0009048230472843312,0.9999377907018766,0.9998042192203648
advanced_core_s7,7,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,binary,229.01349927699994,1.2195032109993917,0,0,0.5158381996045495,0.5394651241994969,0.6709296369073187,0.36271058447471677,0.3496601444608917,0.3955329684033043,0.9665460972422669,0.9825489560198317
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,binary,66.42166639300012,2.1717054849996202,0,0,0.0007475325585469836,0.22996849499215313,0.5001135533346984,0.005936417625810321,0.6999648985681625,0.7008095301933452,0.8715838512385177,0.9247460556799805
advanced_core_s7,7,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,binary,127.64963543400154,2.2312064970010397,0,0,0.48605290408626867,0.6358442640322166,0.6478178897800695,0.38861205807926674,0.24125400909540284,0.2589434720453463,0.9210097388227716,0.8697553928777568
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,binary,64.98056903900033,4.995497993999379,0,0,0.0001675520268083243,0.36757451766069954,0.5000158029578957,0.0019279764011102653,0.4177707237514173,0.41814778771014277,0.7364586673465736,0.6499711314521028
advanced_core_s7,7,logistic_regression,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,a2cc81896f713cd5,1702884,361363,115,binary,165.03265548499985,1.309474779998709,0,0,0.003055141579731744,0.4823017205787681,0.4732336210624927,-0.023400800774943227,0.05187293394384014,0.060414633936277565,0.8677245483924371,0.04026565464924442
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,a2cc81896f713cd5,1702884,361363,115,binary,59.806431320999764,2.2794217910013685,0,0,0.000793178663493952,0.49688598646112025,0.4989483318365045,-0.004412419072750967,0.012465037447991713,0.012605136824673752,0.9469193432854842,0.1710865092985787
advanced_core_s7,7,logistic_regression,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,d8b72d643bafef8f,1985575,199556,115,binary,247.09875308700066,0.7140841099990212,0,0,0.7881242200927648,0.8654180174329233,0.9357273183110854,0.7558301898670913,0.06649869400629398,0.08829979043132502,0.9801684021508726,0.8504745960924783
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,d8b72d643bafef8f,1985575,199556,115,binary,70.44766340500064,1.3279199339995102,0,0,0.9860662652354772,0.9915831904338048,0.9921845718989735,0.9831680946231245,0.003490166387064001,0.0034788602010136023,0.9998351871351667,0.9993027377201388
