experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features,task,train_seconds,inference_seconds,warning_count,convergence_warning_count,macro_f1,weighted_f1,balanced_accuracy,mcc,num_labels
advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,multiclass_label,743.5444187550002,1.335985189999974,0,0,0.44874020068931786,0.9175330618314104,0.8688068148945299,0.783333193758954,14
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,multiclass_label,56.40911343100015,2.6160368189998735,0,0,0.747867255310949,0.9901403561327534,0.7953993414619231,0.9720975285565523,14
advanced_core_s42,42,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,multiclass_label,701.5903707349999,1.148189187999833,0,0,0.04532847910048388,0.16208574086348337,0.22998852947923837,0.11865125396234127,12
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,multiclass_label,44.90059120699971,1.7007997069999874,0,0,0.041483645962789056,0.13597592479996146,0.24745813259922,-0.017830990461109406,11
advanced_core_s42,42,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,multiclass_label,674.8563984109996,2.2125619110001935,0,0,0.05457093781838936,0.4438910463017251,0.22477767219075973,0.14468093227926498,14
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,multiclass_label,43.4092977829996,3.6295518760007326,0,0,0.052318394215523215,0.4255684010130533,0.24799163421239104,-0.0048075073628631795,14
advanced_core_s42,42,logistic_regression,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,multiclass_label,737.4634494359998,1.2380320619995473,0,0,0.06665558976834551,0.9225491616231042,0.21953578336557059,0.08298556372291553,14
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,multiclass_label,50.225040350999734,2.100990799000101,0,0,0.0761840921958936,0.9791124132829958,0.24806716361508985,-0.004548756140429296,13
advanced_core_s42,42,logistic_regression,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,multiclass_label,889.810356037,0.9145925840002747,0,0,0.3043982005333302,0.9051367461247115,0.6971501085959049,0.6464093561027044,14
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,multiclass_label,54.69476009600021,1.754408802999933,0,0,0.4446931717490527,0.9922570062052073,0.557556992121897,0.9611507192636906,14
