feature,importance,importance_std,explain_sample_size,permutation_repeats,task,method,experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features
duration,0.6976498109823493,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
packets_count,0.7182655315079398,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
fwd_packets_count,1.8023945194190116,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
bwd_packets_count,0.09079938323596079,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
total_payload_bytes,0.4243691520076547,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
fwd_total_payload_bytes,8.39793660311497,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
bwd_total_payload_bytes,0.4132533043553172,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
payload_bytes_max,1.8279977588505927,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
payload_bytes_min,0.0869374515112469,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
payload_bytes_mean,1.3658373190268824,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
payload_bytes_std,1.5452392071342378,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
payload_bytes_variance,20.760066862622697,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
fwd_payload_bytes_max,1.8279977588505927,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
fwd_payload_bytes_min,0.0869374515112469,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
fwd_payload_bytes_mean,1.3658373190268824,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
fwd_payload_bytes_std,1.5452392071342378,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
fwd_payload_bytes_variance,0.2924029284863124,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
bwd_payload_bytes_max,1.8279977588505927,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
bwd_payload_bytes_min,0.0869374515112469,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
bwd_payload_bytes_mean,1.3658373190268824,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
bwd_payload_bytes_std,1.5452392071342378,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
bwd_payload_bytes_variance,4.140212218650307,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
total_header_bytes,0.304451758912602,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
max_header_bytes,5.426383193349312,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
min_header_bytes,7.435927503764605,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
mean_header_bytes,3.7592482454741027,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
std_header_bytes,3.3667353397474917,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
fwd_total_header_bytes,1.7908049565049733,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
fwd_max_header_bytes,15.734862575606154,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
fwd_min_header_bytes,6.593904704364606,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
fwd_mean_header_bytes,6.634596754911829,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
fwd_std_header_bytes,1.5521202121669992,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
bwd_total_header_bytes,0.8564400324839577,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
bwd_max_header_bytes,16.538607933690074,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
bwd_min_header_bytes,5.644673411724562,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
bwd_mean_header_bytes,4.85803817271601,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
bwd_std_header_bytes,3.5518607734610725,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
fwd_avg_segment_size,1.0134286339661467,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
bwd_avg_segment_size,4.552888353690807,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
avg_segment_size,1.3658373194200304,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
fwd_init_win_bytes,0.41935315589883587,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
bwd_init_win_bytes,0.7905491642784747,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
active_min,0.35421832676357384,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
active_max,0.31902455196655644,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
active_mean,0.27779124441149894,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
active_std,0.47980423543310696,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
idle_min,0.9051118529422225,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
idle_max,2.039991954735543,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
idle_mean,0.10521862736658487,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
idle_std,0.28481841386035,,365708,0,binary,coefficient,advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115
