experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features,target_coverage,actual_coverage,review_rate,confidence_threshold,selective_error,selective_macro_f1,accepted_attack_recall
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,0.8,0.8553900926422173,0.14460990735778267,0.9996339054774195,0.665833394603338,0.250468422792902,0.0
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,0.7,0.700050313364761,0.299949686635239,0.9999031832997398,0.6250634730913153,0.27269369863325027,0.0
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,0.5,0.5000027344219978,0.49999726557800217,0.9999773040593166,0.6039703590276448,0.2836828311872481,0.0
advanced_core_s42,42,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,1.0,1.0,0.0,0.500151233074984,0.30184181047001113,0.6370109770577522,0.3433600950625371
advanced_core_s42,42,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,0.95,0.9499988829775351,0.0500011170224649,0.7567544909938908,0.2852929121901729,0.6534430497030866,0.35604388457332864
advanced_core_s42,42,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,0.9,0.8999993617014486,0.10000063829855144,0.7616020334400447,0.2457007902496281,0.694048512785884,0.4077821808919333
advanced_core_s42,42,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,0.8,0.8000003191492757,0.19999968085072428,0.9103367369850093,0.17778602246411068,0.7695241108577808,0.5045335423637597
advanced_core_s42,42,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,0.7,0.6999996808507243,0.3000003191492757,0.9831171492630171,0.10027218886350892,0.8633704835347484,0.6607987945093668
advanced_core_s42,42,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,0.5,0.5,0.5,0.9999380557528726,0.002170215074696888,0.9968343630304568,0.9949001830703513
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,1.0,1.0,0.0,0.5005283253965951,0.4188850200904469,0.3678287207938393,0.0003161134047317987
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,0.95,0.9500068617094274,0.049993138290572614,0.9977874090453428,0.3994577860942626,0.3752117305548967,0.0
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,0.9,0.9001381916363741,0.0998618083636259,0.9985383281031426,0.3696014437514847,0.386653038812202,0.0
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,0.8,0.8000497872870077,0.1999502127129923,0.9997996728083428,0.33244110067735216,0.40032103189506896,0.0
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,0.7,0.7241513022886195,0.27584869771138054,0.9998684413510727,0.27911132853387277,0.41890488526021813,0.0
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,0.5,0.5,0.5,0.9999638858949975,0.08032668119859702,0.47907803363940304,0.0
advanced_core_s42,42,logistic_regression,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,1.0,1.0,0.0,0.5000456879367945,0.07411384120676438,0.4833178431927784,0.016763848396501458
advanced_core_s42,42,logistic_regression,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,0.95,0.9499976477945999,0.05000235220540006,0.7416711892783776,0.05293130669338818,0.48870646840408105,0.0106544901065449
advanced_core_s42,42,logistic_regression,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,0.9,0.8999980628896705,0.10000193711032945,0.8636275727653226,0.030157490483540675,0.4959880669404756,0.009353078721745909
advanced_core_s42,42,logistic_regression,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,0.8,0.7999988930798118,0.20000110692018824,0.9666097648066885,0.005223286865681968,0.5208424988035494,0.5737704918032787
advanced_core_s42,42,logistic_regression,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,0.7,0.699999723269953,0.30000027673004703,0.9953685952896916,0.003506566411284265,0.5347237946763238,0.6415094339622641
advanced_core_s42,42,logistic_regression,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,0.5,0.5000013836502354,0.4999986163497646,0.9997358893723819,0.0014445268482748696,0.6005559723948088,0.6346153846153846
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,1.0,1.0,0.0,0.5028136896019791,0.012062662751858935,0.6217662341210263,0.1761418853255588
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,0.95,0.9499976477945999,0.05000235220540006,0.9977111502358047,0.006096814974919457,0.4994248701634528,0.0009551098376313276
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,0.9,0.9014259899325608,0.09857401006743916,0.9992271264398652,0.006302533907202632,0.4993916655921308,0.0009737098344693282
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,0.8,0.800319899934415,0.199680100065585,0.9998023963815751,0.000452964323008513,0.5147015472976907,0.015151515151515152
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,0.7,0.7000329308756016,0.2999670691243984,0.9999205253260665,0.0003518259370824538,0.521417403688755,0.022222222222222223
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,0.5,0.5000013836502354,0.4999986163497646,0.9999861302589417,1.660375687672264e-05,0.7857101346946569,0.5
advanced_core_s42,42,logistic_regression,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,1.0,1.0,0.0,0.500009372636156,0.06389311310383397,0.8836567331012075,0.9762631400474737
advanced_core_s42,42,logistic_regression,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,0.95,0.9499963610037501,0.05000363899624993,0.7559533480862417,0.03974081376735334,0.9255444372435975,0.9818207762557077
advanced_core_s42,42,logistic_regression,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,0.9,0.9000003830522368,0.09999961694776316,0.8722433351790513,0.02330233448958311,0.9553635970287898,0.9827045407909009
advanced_core_s42,42,logistic_regression,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,0.8,0.8000007661044737,0.19999923389552632,0.9324594803510284,0.01193685389922863,0.9695108867235172,0.973686569840416
advanced_core_s42,42,logistic_regression,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,0.7,0.7000011491567105,0.2999988508432895,0.9787474251570782,0.01029861608926197,0.9576717903017999,0.9520827898078094
advanced_core_s42,42,logistic_regression,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,0.5,0.5000019152611842,0.4999980847388158,0.9988871619068304,0.003738575510798201,0.8235207847154606,0.9038076152304609
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,1.0,1.0,0.0,0.5041918432722674,0.003903302293333742,0.9917089960553099,0.9908443540183113
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,0.95,0.9500116830932234,0.04998831690677663,0.9968666942607821,0.00016128316889170238,0.9996536963933628,0.9999400245899182
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,0.9,0.9001267902903919,0.09987320970960811,0.9987495764184252,4.2555364529252554e-06,0.9999910470171038,0.9999691243670495
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,0.8,0.8000199187163154,0.1999800812836846,0.999728930345098,4.788033746061842e-06,0.9999906889733898,0.9999683994311898
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,0.7,0.7006714905711692,0.2993285094288308,0.9998636893057735,5.4669305371805945e-06,0.9999877237142666,0.9999571624400274
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,0.5,0.5002585602598626,0.4997414397401374,0.9999603295895249,7.657085100843811e-06,0.9999813205529025,0.9999339454389325
