experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features,task,train_seconds,inference_seconds,warning_count,convergence_warning_count,f1,macro_f1,balanced_accuracy,mcc,brier_score,ece,auroc,auprc
advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,binary,120.48981932600009,1.1556166259999827,0,0,0.9101218516874525,0.9370200788599229,0.9569701876047472,0.8780947360445714,0.039299624964474346,0.034485704952620044,0.9894765319210006,0.9694804874765666
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,binary,70.41896452800029,3.2097899119999056,0,0,0.994193119664673,0.9960364350810366,0.9961749846016275,0.9920730493643495,0.0022903794202615204,0.0008750942097586633,0.9999314423874004,0.9997876275108926
advanced_core_s42,42,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,binary,199.27157705699983,1.0866665179996744,0,0,0.5158381996045495,0.5394651241994969,0.6709296369073187,0.36271058447471677,0.3496601444608917,0.3955329684033043,0.9665460972422669,0.9825489560198317
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,binary,60.63567183299983,2.018094554000072,0,0,0.0001324168013553249,0.22962434690665365,0.4999642852019795,-0.0034926837428646672,0.700627767033575,0.7012646825809125,0.7539868015822908,0.8639135848964592
advanced_core_s42,42,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,binary,182.21674858300003,1.9893193860002611,0,0,0.4880285387942468,0.6370109770577522,0.6486864907806876,0.3900686708022416,0.2338336409667462,0.25276912942193097,0.9230749938581786,0.8733288106754971
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,626666,115,binary,61.05934625700047,4.938109378999798,0,0,0.0006319788934278002,0.3678287207938393,0.5001305918710823,0.010052504526037509,0.4174978058284913,0.4179920878705509,0.8972479913562523,0.8002273750419708
advanced_core_s42,42,logistic_regression,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,binary,167.7763197990007,1.1110014599998976,0,0,0.00512630014858841,0.4833178431927784,0.476562202829002,-0.020457194190590618,0.05175324897696518,0.06610984403853379,0.8665891046578981,0.03988615386327803
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,binary,68.3905071879999,2.980293640000127,0,0,0.2496126699948356,0.6217662341210263,0.5867161377238995,0.2695077844736683,0.009355827760073739,0.009257760341587767,0.9349685954704858,0.2797738566302393
advanced_core_s42,42,logistic_regression,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,binary,158.29334564799956,0.8454801090001638,0,0,0.8055400111919419,0.8836567331012075,0.9530365431485679,0.7858923127154307,0.046626165778127254,0.058377424546366505,0.9845540876710648,0.8432048463467944
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,binary,68.77912893099983,2.1128691920002893,0,0,0.9856775408660942,0.9917089960553099,0.993882338393105,0.9834359853903601,0.0028260988512907783,0.001974601184208977,0.9998872481959918,0.9993434543562879
