experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features,bin,bin_lower,bin_upper,count,confidence_mean,positive_rate,abs_gap
advanced_core_s42,42,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,3,0.30000000000000004,0.4,1775,0.3631279961290226,0.971830985915493,0.6087029897864704
advanced_core_s42,42,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,4,0.4,0.5,239,0.4513446849396814,0.8661087866108786,0.41476410167119726
advanced_core_s42,42,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,5,0.5,0.6000000000000001,1449,0.5710251226808387,0.9813664596273292,0.41034133694649044
advanced_core_s42,42,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,6,0.6000000000000001,0.7000000000000001,385,0.6177950134478573,0.9584415584415584,0.3406465449937012
advanced_core_s42,42,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,7,0.7000000000000001,0.8,1116,0.7558967954929627,0.9068100358422939,0.15091324034933118
advanced_core_s42,42,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,8,0.8,0.9,489,0.8465621180155256,0.8139059304703476,0.03265618754517796
advanced_core_s42,42,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,9,0.9,1.0,86774,0.9986108307972751,0.9943416230668173,0.0042692077304578024
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,0,0.0,0.1,365350,0.0006429314572995126,0.7018365950458465,0.701193663588547
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,1,0.1,0.2,287,0.1062114586000622,0.9198606271777003,0.8136491685776381
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,2,0.2,0.30000000000000004,22,0.23298934175074545,0.9090909090909091,0.6761015673401636
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,3,0.30000000000000004,0.4,13,0.37876507637169116,0.9230769230769231,0.5443118467052319
