experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features,label,precision,recall,f1,support
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,Web_SQL_Injection,0.0,0.0,0.0,24
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,361363,115,Web_XSS,0.0,0.0,0.0,1358
advanced_core_s42,42,logistic_regression,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,Heartbleed,0.0,0.0,0.0,0
advanced_core_s42,42,logistic_regression,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,Web_Brute_Force,0.008297258297258298,1.0,0.016457960644007157,23
advanced_core_s42,42,logistic_regression,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,Web_SQL_Injection,0.0008233841086867024,1.0,0.0016454134101192926,2
advanced_core_s42,42,logistic_regression,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,Web_XSS,0.0,0.0,0.0,2
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,Heartbleed,0.0,0.0,0.0,0
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,Web_Brute_Force,0.13043478260869565,0.5217391304347826,0.20869565217391303,23
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,Web_SQL_Injection,0.0,0.0,0.0,2
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,261061,115,Web_XSS,0.0,0.0,0.0,2
