experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_val,n_test,n_features,status,train_seconds,test_inference_seconds,val_inference_seconds,warning_count,convergence_warning_count,calibration_method,calibration_seconds,f1,macro_f1,balanced_accuracy,mcc,brier_score,ece,auroc,auprc
cse_cic2018_calibration_partial_s42,42,logistic_regression,deployment_safe,random_stratified,,1f001324943b2e17,d2a1e637f6c65ede,0b259b5546c72f98,140649,30139,30140,77,completed,14.141213762999996,0.1536838390002231,0.08085185599975375,0,0,raw,0.0,0.8860795214041821,0.8617895091221692,0.8662036475560455,0.7250088231183882,0.10185467182832109,0.03947880419183264,0.9277797087467843,0.9571011776694985
cse_cic2018_calibration_partial_s42,42,logistic_regression,deployment_safe,random_stratified,,1f001324943b2e17,d2a1e637f6c65ede,0b259b5546c72f98,140649,30139,30140,77,completed,14.141213762999996,0.1536838390002231,0.08085185599975375,0,0,platt_sigmoid,0.0961919700002909,0.8872286043310957,0.862263246526694,0.8657946067622198,0.7254523399773299,0.09984589507308736,0.02120881950308054,0.9277797087467843,0.9571011782173087
cse_cic2018_calibration_partial_s42,42,logistic_regression,deployment_safe,random_stratified,,1f001324943b2e17,d2a1e637f6c65ede,0b259b5546c72f98,140649,30139,30140,77,completed,14.141213762999996,0.1536838390002231,0.08085185599975375,0,0,isotonic,0.010867455000152404,0.8899913469858668,0.8705325731415081,0.8793314038956266,0.7462641329570383,0.09493372185681269,0.004004606853628015,0.933337658489526,0.9529681404464742
cse_cic2018_calibration_partial_s42,42,hist_gradient_boosting,deployment_safe,random_stratified,,1f001324943b2e17,d2a1e637f6c65ede,0b259b5546c72f98,140649,30139,30140,77,completed,13.627793993000068,0.37729043199988155,0.155875515000389,0,0,raw,0.0,0.936254082666967,0.9224155246156673,0.9270190187431091,0.8460931452656523,0.0513502550086221,0.015075433289324907,0.98330427692025,0.9897451715452297
cse_cic2018_calibration_partial_s42,42,hist_gradient_boosting,deployment_safe,random_stratified,,1f001324943b2e17,d2a1e637f6c65ede,0b259b5546c72f98,140649,30139,30140,77,completed,13.627793993000068,0.37729043199988155,0.155875515000389,0,0,platt_sigmoid,0.14349465399982364,0.9379041248606466,0.9232963247254052,0.9256983645718486,0.8469418465421316,0.052971431485648056,0.018763351027348357,0.98330427692025,0.9897451715452297
cse_cic2018_calibration_partial_s42,42,hist_gradient_boosting,deployment_safe,random_stratified,,1f001324943b2e17,d2a1e637f6c65ede,0b259b5546c72f98,140649,30139,30140,77,completed,13.627793993000068,0.37729043199988155,0.155875515000389,0,0,isotonic,0.010355358000197157,0.9381622997537559,0.9227829355171813,0.9236014792355751,0.8456070816085405,0.050627539940539736,0.002917007342609444,0.9832767410878354,0.9889871794572189
cse_cic2018_calibration_partial_s42,42,logistic_regression,deployment_safe,temporal,,1f001324943b2e17,d2a1e637f6c65ede,c3d38fb248973810,140649,30139,30140,77,completed,15.947592307999912,0.11243940800022756,0.05394984300028227,0,0,raw,0.0,0.6415371076562042,0.6726832411766237,0.7313610160897628,0.49477714312470633,0.2716754013818612,0.3619062197528103,0.6764736059661525,0.799934232747719
cse_cic2018_calibration_partial_s42,42,logistic_regression,deployment_safe,temporal,,1f001324943b2e17,d2a1e637f6c65ede,c3d38fb248973810,140649,30139,30140,77,completed,15.947592307999912,0.11243940800022756,0.05394984300028227,0,0,platt_sigmoid,0.24998874199991405,0.7571902768900892,0.3785951384450446,0.5,0.0,0.21364544594868107,0.20378510449210574,0.6764736059661525,0.799934232747719
cse_cic2018_calibration_partial_s42,42,logistic_regression,deployment_safe,temporal,,1f001324943b2e17,d2a1e637f6c65ede,c3d38fb248973810,140649,30139,30140,77,completed,15.947592307999912,0.11243940800022756,0.05394984300028227,0,0,isotonic,0.01103492099991854,0.8192018559414664,0.647320169443777,0.6559123145110397,0.4650352124588661,0.18040263986256674,0.15328896589407467,0.8244719919538354,0.8425421700540442
cse_cic2018_calibration_partial_s42,42,hist_gradient_boosting,deployment_safe,temporal,,1f001324943b2e17,d2a1e637f6c65ede,c3d38fb248973810,140649,30139,30140,77,completed,6.925734771999942,0.26402857399989443,0.12527434699995865,0,0,raw,0.0,0.8803453947368421,0.8312247378027153,0.8211318736261946,0.6727834071260111,0.12188303980487696,0.0863807883536166,0.900985388256529,0.9226290231823284
cse_cic2018_calibration_partial_s42,42,hist_gradient_boosting,deployment_safe,temporal,,1f001324943b2e17,d2a1e637f6c65ede,c3d38fb248973810,140649,30139,30140,77,completed,6.925734771999942,0.26402857399989443,0.12527434699995865,0,0,platt_sigmoid,0.12764943499996662,0.8490801753913235,0.7662166051443948,0.7541450702558548,0.5691350787730808,0.15486130573631154,0.13713484416380575,0.900985388256529,0.9226290231823284
