experiment,model,feature_tier,split,seed,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_val,n_test,n_features,train_positive_rate,test_positive_rate,status,train_seconds,inference_seconds,model_path,error_type,error_message,f1,macro_f1,balanced_accuracy,mcc,brier_score,ece,auroc,auprc
fullcore_mem_s7,logistic_regression,no_identity,random_stratified,7,,171746c8753403c4,7d2ae6c897c9e461,7e8ccfc6874f639c,1706636,365708,365708,117,0.26734992113139533,0.2673499075765365,completed,130.17542940900012,1.0451781570000094,,,,0.9095244453770291,0.9365801954097235,0.956762278029598,0.8773110871829393,0.03813392711070532,0.03383354029305413,0.9897926583763437,0.9708571323880528
fullcore_mem_s7,hist_gradient_boosting,no_identity,random_stratified,7,,171746c8753403c4,7d2ae6c897c9e461,7e8ccfc6874f639c,1706636,365708,365708,117,0.26734992113139533,0.2673499075765365,completed,68.01797003599995,2.8262829190002776,,,,0.9993507456200891,0.9995568599873303,0.9996623206458748,0.9991138227992727,0.0002809605354337734,0.00045203175873074857,0.9999908388437259,0.9998581820908969
fullcore_mem_s7,logistic_regression,no_identity,temporal,7,,171746c8753403c4,7d2ae6c897c9e461,b810bedb62f67dc0,1706636,365708,365708,117,0.22634820781935924,0.7020163627812352,completed,164.54325792400005,1.1114391689998229,,,,0.5166871756151964,0.5402045030211835,0.6717269016558369,0.3643249947743282,0.33316732058624043,0.38233921691952305,0.9650448329222076,0.9819841871461155
fullcore_mem_s7,hist_gradient_boosting,no_identity,temporal,7,,171746c8753403c4,7d2ae6c897c9e461,b810bedb62f67dc0,1706636,365708,365708,117,0.22634820781935924,0.7020163627812352,completed,66.3636930470002,2.2386989820001872,,,,0.010754604411867257,0.23562319587878813,0.5026986092770206,0.04013121032379652,0.6976483843343819,0.6980870966867722,0.7031160739505059,0.8190919019716654
fullcore_mem_s7,logistic_regression,no_identity,day_holdout_2017-07-07,7,,171746c8753403c4,7d2ae6c897c9e461,35d101b07c4e0bdf,1485336,326050,626666,117,0.2148900989405764,0.4189855521122895,completed,135.0976685210003,1.9028984619999392,,,,0.4943841455020528,0.6411082296179469,0.651967574783032,0.39719667720431584,0.22638170855741047,0.24580937088244753,0.9241998765913385,0.8770914012620608
fullcore_mem_s7,hist_gradient_boosting,no_identity,day_holdout_2017-07-07,7,,171746c8753403c4,7d2ae6c897c9e461,35d101b07c4e0bdf,1485336,326050,626666,117,0.2148900989405764,0.4189855521122895,completed,46.62278954000021,3.112707871999646,,,,0.21698420673827726,0.4882127054701507,0.5608075755513628,0.27261932298267444,0.36598854500725286,0.3664286424387711,0.7638855712445546,0.7446100269194396
fullcore_mem_s7,logistic_regression,no_identity,scenario_holdout_Web,7,,171746c8753403c4,7d2ae6c897c9e461,a2cc81896f713cd5,1702884,373805,361363,117,0.31188912456749845,0.011390208737474506,completed,151.19287849700004,1.026990332999958,,,,0.0032726995966207476,0.4828323615608541,0.4742659452068403,-0.022762877333492734,0.05097148553430612,0.06248898319088872,0.8690048634879294,0.04068490326252397
fullcore_mem_s7,hist_gradient_boosting,no_identity,scenario_holdout_Web,7,,171746c8753403c4,7d2ae6c897c9e461,a2cc81896f713cd5,1702884,373805,361363,117,0.31188912456749845,0.011390208737474506,completed,67.6616899730002,2.6952229099997567,,,,0.0028770079117717575,0.498544501409108,0.5006602829716895,0.011359571188837014,0.01048357687361223,0.01075408523886508,0.9691052606066874,0.4676417514853282
fullcore_mem_s7,logistic_regression,no_identity,endpoint_pair_holdout,7,,171746c8753403c4,7d2ae6c897c9e461,d8b72d643bafef8f,1985575,252921,199556,117,0.28860103496468276,0.17200184409388844,completed,210.35700843699988,0.5748840269998254,,,,0.7904562598280898,0.8670546155292267,0.9360285947190319,0.7581759365313888,0.06534843587239979,0.08548171955875516,0.9796646852855683,0.8561995257784124
fullcore_mem_s7,hist_gradient_boosting,no_identity,endpoint_pair_holdout,7,,171746c8753403c4,7d2ae6c897c9e461,d8b72d643bafef8f,1985575,252921,199556,117,0.28860103496468276,0.17200184409388844,completed,77.35053943799994,1.5956317760001184,,,,0.9973249592928588,0.9983839685907514,0.9991662226816929,0.9967707840573327,0.000821075911758767,0.0011109456742030381,0.9997434754986705,0.9956510916307288
