model,metric,baseline_split,stress_split,n_pairs,baseline_mean,stress_mean,mean_delta,delta_ci_low,delta_ci_high,mean_ratio,ratio_ci_low,ratio_ci_high,paired_effect_size_dz,sign_flip_p_value,confidence,bootstrap_iterations
hist_gradient_boosting,macro_f1,random_stratified,day_holdout_2017-07-07,6,0.9977263451202202,0.4090028559275216,-0.5887234891926987,-0.6281461524694868,-0.5485731449409216,0.40986232658356675,0.369667060620606,0.4504999065158149,-9.652768797003157,0.03125,0.95,5000
hist_gradient_boosting,macro_f1,random_stratified,endpoint_pair_holdout,6,0.9977263451202202,0.9923725147900742,-0.005353830330145988,-0.008902095539770857,-0.0020385505387432077,0.994630216339247,0.9905531528548055,0.9979604030845232,-1.1152006237172443,0.03125,0.95,5000
hist_gradient_boosting,macro_f1,random_stratified,scenario_holdout_Web,6,0.9977263451202202,0.5206774824404979,-0.4770488626797224,-0.49957093570384276,-0.43527345132346235,0.5218960912229803,0.4992894100448675,0.5633710262369683,-9.450857808691348,0.03125,0.95,5000
hist_gradient_boosting,macro_f1,random_stratified,temporal,6,0.9977263451202202,0.2315226055603671,-0.7662037395598532,-0.7674275032495057,-0.7650483287991646,0.23204775245253292,0.23068147456219923,0.23374256527405535,-489.4489331012559,0.03125,0.95,5000
logistic_regression,macro_f1,random_stratified,day_holdout_2017-07-07,6,0.9356769606488072,0.639421519363722,-0.29625544128508513,-0.29796137230133485,-0.2946631942118319,0.6833787960371264,0.6816748713316896,0.6850662312902505,-129.52688706604846,0.03125,0.95,5000
logistic_regression,macro_f1,random_stratified,endpoint_pair_holdout,6,0.9356769606488072,0.8819820803118033,-0.05369488033700385,-0.06317996029677427,-0.044320885989040416,0.9426156601215107,0.932510970593074,0.9526511765500987,-4.101282154904851,0.03125,0.95,5000
logistic_regression,macro_f1,random_stratified,scenario_holdout_Web,6,0.9356769606488072,0.4831133396471036,-0.4525636210017035,-0.4534235357902565,-0.4515576882973758,0.5163256164231783,0.5157449414131564,0.5169834080136102,-345.0314094211386,0.03125,0.95,5000
logistic_regression,macro_f1,random_stratified,temporal,6,0.9356769606488072,0.5400715320145881,-0.39560542863421916,-0.39643454455364086,-0.39472459408112287,0.5771994820879626,0.5767079054224942,0.5777370407647539,-333.4478045849867,0.03125,0.95,5000
