experiment,model,feature_tier,split,seed,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_val,n_test,n_features,train_positive_rate,test_positive_rate,status,train_seconds,inference_seconds,warning_count,convergence_warning_count,warning_messages,model_path,error_type,error_message,f1,macro_f1,balanced_accuracy,mcc,brier_score,ece,auroc,auprc
fullcore_lr2000_nohour_s99,logistic_regression,no_identity,random_stratified,99,,84c7f5218d18d560,fec4a9b95ffa7c10,70b357c6db894459,1706636,365708,365708,116,0.26734992113139533,0.2673499075765365,completed,141.14550189199872,1.3833887729997514,0,0,,,,,0.883020377035611,0.9171516858937181,0.9438743629326167,0.8417952228333457,0.048143200735692594,0.04053410128491913,0.990020994465304,0.9726049660295412
fullcore_lr2000_nohour_s99,logistic_regression,no_identity,temporal,99,,84c7f5218d18d560,fec4a9b95ffa7c10,b810bedb62f67dc0,1706636,365708,365708,116,0.22634820781935924,0.7020163627812352,completed,176.40485483700104,1.3864053350007453,0,0,,,,,0.7955692022793962,0.7428854186158736,0.801776620297969,0.5521062328341589,0.12619184156312568,0.15999201733610344,0.9630974035582927,0.9805357800670802
fullcore_lr2000_nohour_s99,logistic_regression,no_identity,day_holdout_2017-07-07,99,,84c7f5218d18d560,fec4a9b95ffa7c10,b7f30cee2aaecfe2,1485336,326050,626666,116,0.2148900989405764,0.4189855521122895,completed,193.01401762399837,2.3575228189984045,0,0,,,,,0.7642486714351066,0.8119275014621296,0.8040472125609592,0.6393103490106279,0.09504180221064501,0.09499399370856952,0.9637038046440525,0.9435759848162779
fullcore_lr2000_nohour_s99,logistic_regression,no_identity,scenario_holdout_Web,99,,84c7f5218d18d560,fec4a9b95ffa7c10,b96020ab6ce77c9d,1702884,373805,361363,116,0.31188912456749845,0.011390208737474506,completed,151.3025972079995,1.3663661610007694,0,0,,,,,0.002271932890597693,0.47625631903407795,0.4625021251966192,-0.028749462550492533,0.06268056472506542,0.07629382414336096,0.842064260864253,0.034507523092727053
fullcore_lr2000_nohour_s99,logistic_regression,no_identity,endpoint_pair_holdout,99,,84c7f5218d18d560,fec4a9b95ffa7c10,cad9f8afa02fb37b,1782463,210378,445211,116,0.32215367163301567,0.0882368135558196,completed,189.96722653999677,1.5700949219972244,0,0,,,,,0.7590305779569892,0.8650860330773893,0.935613151945405,0.745502242274592,0.03606725153353244,0.03959474512264632,0.986512472731503,0.8853571878094009
fullcore_lr2000_nohour_s99,logistic_regression,deployment_safe,random_stratified,99,,84c7f5218d18d560,cecaa9a7257915f2,70b357c6db894459,1706636,365708,365708,114,0.26734992113139533,0.2673499075765365,completed,225.69482706099734,1.3574870089978504,0,0,,,,,0.88192540526616,0.9159951911356519,0.945890667345662,0.8412746002298352,0.048988018509053974,0.041046471398891546,0.9877848618869094,0.966706391044594
fullcore_lr2000_nohour_s99,logistic_regression,deployment_safe,temporal,99,,84c7f5218d18d560,cecaa9a7257915f2,b810bedb62f67dc0,1706636,365708,365708,114,0.22634820781935924,0.7020163627812352,completed,242.9554200149978,1.2558442000008654,0,0,,,,,0.8015593027405242,0.7485870609332683,0.8062302636711777,0.5603293920470367,0.11923213364753588,0.1643242403617502,0.9697686373627449,0.9839818455979024
fullcore_lr2000_nohour_s99,logistic_regression,deployment_safe,day_holdout_2017-07-07,99,,84c7f5218d18d560,cecaa9a7257915f2,b7f30cee2aaecfe2,1485336,326050,626666,114,0.2148900989405764,0.4189855521122895,completed,187.92023443600192,2.325662385999749,0,0,,,,,0.7662652971374103,0.8135125404501363,0.8055814333878937,0.6424560532644462,0.09573158751891682,0.09987773856528963,0.9699959527212738,0.9537273030210245
fullcore_lr2000_nohour_s99,logistic_regression,deployment_safe,scenario_holdout_Web,99,,84c7f5218d18d560,cecaa9a7257915f2,b96020ab6ce77c9d,1702884,373805,361363,114,0.31188912456749845,0.011390208737474506,completed,164.5617251090007,1.3246543669993116,0,0,,,,,0.002180964097975618,0.4751167018398933,0.4604979096258796,-0.029657160299486666,0.06458240365651925,0.0793927362100365,0.8397006636946299,0.03450480968766475
fullcore_lr2000_nohour_s99,logistic_regression,deployment_safe,endpoint_pair_holdout,99,,84c7f5218d18d560,cecaa9a7257915f2,cad9f8afa02fb37b,1782463,210378,445211,114,0.32215367163301567,0.0882368135558196,completed,238.6438044280003,1.6531329079989519,0,0,,,,,0.7516497371605202,0.8604064664885337,0.9432206445513509,0.7412094078921557,0.036993122461147235,0.041326131665055575,0.9876350966017607,0.8903893986172975
