experiment,seed,model,feature_tier,unknown_family,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features,unknown_support,status,train_seconds,inference_seconds,warning_count,convergence_warning_count,score_name,unknown_auroc_score,unknown_auprc_score,unknown_attack_recall_as_attack,review_rate_at_p90_score,unknown_recall_at_p90_score
open_set_if_s99,99,isolation_forest,deployment_safe,Web,open_set_Web,,171746c8753403c4,411d47df062d3116,36b5d04cf14db3a1,1702884,361363,115,4116,completed,19.48657694800022,4.734200781000254,0,0,anomaly_score,0.5865727781670022,0.014173409144098576,0.023080660835762875,0.10000193711032951,0.023809523809523808
open_set_if_s99,99,isolation_forest,deployment_safe,Botnet,open_set_Botnet,,171746c8753403c4,411d47df062d3116,754341135b3f2fa0,1701743,362755,115,5508,completed,20.14156677000028,4.94571409999844,0,0,anomaly_score,0.7893574384036413,0.0568251044152878,0.007988380537400145,0.1000013783407534,0.7171387073347858
open_set_if_s99,99,isolation_forest,deployment_safe,PortScan,open_set_PortScan,,171746c8753403c4,411d47df062d3116,58da06f411d4aa96,1573975,518570,115,161323,completed,19.812882516000172,6.034530382999947,0,0,anomaly_score,0.9300975828319906,0.7295006341046457,0.4396211327585031,0.13207088724762328,0.305523700898198
open_set_if_s99,99,isolation_forest,deployment_safe,DDoS,open_set_DDoS,,171746c8753403c4,411d47df062d3116,4fe782ede80574f1,1627759,452980,115,95733,completed,19.039510460999736,5.4846590729994205,0,0,anomaly_score,0.9581955577831763,0.6929732619490279,0.9973781245756427,0.10004856726566294,0.32913415436683274
