experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features,task,train_seconds,inference_seconds,warning_count,convergence_warning_count,f1,macro_f1,balanced_accuracy,mcc,brier_score,ece,auroc,auprc
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,binary,185.78350342800059,1.1821004639996318,0,0,0.9057906987791554,0.9338592853012393,0.9550892129206499,0.872327669240124,0.038922814685903466,0.03407581212840107,0.9896877946935337,0.9703074452409632
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,binary,67.85196079199977,3.136899452999387,0,0,0.9937806237788848,0.995755767629154,0.9957139043772476,0.9915115516438047,0.002188675327491781,0.0010986624303064643,0.9999211367331445,0.9997793909176558
advanced_core_s99,99,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,binary,202.2425931459993,1.2114444830003777,0,0,0.5158381996045495,0.5394651241994969,0.6709296369073187,0.36271058447471677,0.3496601444608917,0.3955329684033043,0.9665460972422669,0.9825489560198317
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,binary,72.48018489100014,2.763583361000201,0,0,0.00023367852844841352,0.22970561253648836,0.5000584264586165,0.005901111245299394,0.6976387003041417,0.6995044712922435,0.8202665958246862,0.9004950181096336
advanced_core_s99,99,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b7f30cee2aaecfe2,1485336,626666,115,binary,167.07424124600038,1.9883673530002852,0,0,0.49388146758525514,0.6405335926841056,0.651360714574336,0.3948370820402931,0.23336484171495486,0.2516993752371283,0.9236847677465201,0.8743487876416357
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,b7f30cee2aaecfe2,1485336,626666,115,binary,52.78061898800115,3.719405452000501,0,0,0.0006624079671689293,0.3678409500705129,0.5001285963706086,0.00940928977418612,0.4039604813614279,0.41075949480639823,0.8126708221418044,0.7649184881948734
advanced_core_s99,99,logistic_regression,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,b96020ab6ce77c9d,1702884,361363,115,binary,128.7225671210017,1.1612328089995572,0,0,0.005134501618484206,0.48335403069970684,0.47662238527979933,-0.02042263341808572,0.051799073569517344,0.060934102511136984,0.868602852143009,0.04053108165064728
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,b96020ab6ce77c9d,1702884,361363,115,binary,61.12307805000091,2.4248175289994833,0,0,0.0020230629172567267,0.4975752561497955,0.4994569212869228,-0.002412057637498927,0.012120130225152124,0.012549360238523731,0.9555093748268446,0.21378514576203894
advanced_core_s99,99,logistic_regression,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,cad9f8afa02fb37b,1782463,445211,115,binary,153.04616614400038,1.4220151780009473,0,0,0.8080998868914927,0.893119310275919,0.9498499557167641,0.7960087264362982,0.029688171731702483,0.031774202313128386,0.9876063761094636,0.8558331526633861
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,,171746c8753403c4,411d47df062d3116,cad9f8afa02fb37b,1782463,445211,115,binary,76.9307028559997,3.119511695998881,0,0,0.9685513463228074,0.9827787960627623,0.9762744925485818,0.9656911507295777,0.004622722044012611,0.0034447930921357975,0.9954892624727479,0.9808283760627149
