feature,importance,importance_std,explain_sample_size,permutation_repeats,task,method,experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features
duration,0.6844749966081229,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
packets_count,1.184545235179332,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
fwd_packets_count,3.0155879769792624,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
bwd_packets_count,0.18057999796001295,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
total_payload_bytes,0.31580934714473213,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
fwd_total_payload_bytes,8.775055475042869,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
bwd_total_payload_bytes,0.30261456250560076,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
payload_bytes_max,1.8739848043443668,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
payload_bytes_min,0.008142511959480604,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
payload_bytes_mean,0.36706982995449766,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
payload_bytes_std,0.4803590678454318,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
payload_bytes_variance,20.37854609026356,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
fwd_payload_bytes_max,1.8739848043443668,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
fwd_payload_bytes_min,0.008142511959480604,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
fwd_payload_bytes_mean,0.36706982995449766,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
fwd_payload_bytes_std,0.4803590678454318,,365708,0,binary,coefficient,advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115
