experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features,target_coverage,actual_coverage,review_rate,confidence_threshold,selective_error,selective_macro_f1,accepted_attack_recall
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,1.0,1.0,0.0,0.5000392575384558,0.05422905706191825,0.9338592853012393,0.9751155750112507
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,0.95,0.9499983593468013,0.050001640653198676,0.745567595121289,0.029747684372319543,0.9636161823769848,0.9859561128526646
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,0.9,0.8999994531156005,0.10000054688439952,0.8288928109158031,0.02056894241607598,0.9739637789884636,0.9873830108096285
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,0.8,0.7999989062312008,0.20000109376879915,0.9291271415998357,0.008592932876684235,0.9877702682097504,0.9874404176439434
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,0.7,0.6999983593468013,0.3000016406531987,0.9830070257105548,0.004703216859704291,0.992735491629097,0.9948701072437958
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,0.5,0.5,0.5,0.9997089547650273,0.0010554868911809422,0.9983945022881517,0.999445017045905
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,1.0,1.0,0.0,0.5021868147669234,0.003325057149419756,0.995755767629154,0.9936484883197644
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,0.95,0.9521011298631695,0.047898870136830474,0.9951919120400646,0.00013211139862891343,0.9998266986168184,0.9999103189283112
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,0.9,0.9001088299955156,0.09989117000448444,0.9972026459848816,2.1265155220443714e-05,0.9999694294941723,0.999918682659077
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,0.8,0.7999989062312008,0.20000109376879915,0.9996525327616862,1.0254096511556366e-05,0.9999856475027152,0.9999706374607276
