experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features,bin,bin_lower,bin_upper,count,confidence_mean,positive_rate,abs_gap
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,0,0.0,0.1,229538,0.0061692416822163205,0.004034190417272957,0.002135051264943364
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,1,0.1,0.2,10504,0.14089957568196665,0.019706778370144708,0.12119279731182195
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,2,0.2,0.30000000000000004,6450,0.24145972919506006,0.046511627906976744,0.19494810128808332
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,3,0.30000000000000004,0.4,4418,0.3532000645417475,0.08850158442734268,0.26469848011440483
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,4,0.4,0.5,2060,0.4400521303325064,0.29563106796116506,0.14442106237134134
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,5,0.5,0.6000000000000001,2646,0.5351012507849973,0.01436130007558579,0.5207399507094115
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,6,0.6000000000000001,0.7000000000000001,3078,0.652813732755333,0.09324236517218973,0.5595713675831433
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,7,0.7000000000000001,0.8,8272,0.765510586568431,0.4922630560928433,0.27324753047558764
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,8,0.8,0.9,22360,0.836823700572619,0.7486583184257602,0.08816538214685876
advanced_core_s99,99,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,9,0.9,1.0,76382,0.979870020931672,0.9714592443245791,0.008410776607092885
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,0,0.0,0.1,266252,0.0007142192086354374,0.000123942730946622,0.0005902764776888154
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,1,0.1,0.2,445,0.15268059236488024,0.19325842696629214,0.0405778346014119
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,2,0.2,0.30000000000000004,431,0.2377893945911728,0.2273781902552204,0.010411204335952384
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,3,0.30000000000000004,0.4,550,0.36506705637603604,0.42727272727272725,0.06220567089669121
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,4,0.4,0.5,284,0.452993955636797,0.5950704225352113,0.14207646689841424
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,5,0.5,0.6000000000000001,277,0.5397107143582882,0.4548736462093863,0.0848370681489019
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,6,0.6000000000000001,0.7000000000000001,667,0.6455926512205478,0.6536731634182908,0.008080512197743084
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,7,0.7000000000000001,0.8,448,0.7546759985057268,0.796875,0.04219900149427325
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,8,0.8,0.9,236,0.8573033050912141,0.9449152542372882,0.08761194914607406
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,115,9,0.9,1.0,96118,0.9980435609970545,0.9988659772363137,0.0008224162392591605
advanced_core_s99,99,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,0,0.0,0.1,186796,0.008398849101653231,0.4387245979571297,0.4303257488554765
advanced_core_s99,99,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,1,0.1,0.2,5976,0.13729204262469455,0.5145582329317269,0.37726619030703235
advanced_core_s99,99,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,2,0.2,0.30000000000000004,80709,0.2569509565899398,0.9948085095838135,0.7378575529938737
advanced_core_s99,99,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,3,0.30000000000000004,0.4,1775,0.3631279961290226,0.971830985915493,0.6087029897864704
advanced_core_s99,99,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,4,0.4,0.5,239,0.4513446849396814,0.8661087866108786,0.41476410167119726
advanced_core_s99,99,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,5,0.5,0.6000000000000001,1449,0.5710251226808387,0.9813664596273292,0.41034133694649044
advanced_core_s99,99,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,6,0.6000000000000001,0.7000000000000001,385,0.6177950134478573,0.9584415584415584,0.3406465449937012
advanced_core_s99,99,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,7,0.7000000000000001,0.8,1116,0.7558967954929627,0.9068100358422939,0.15091324034933118
advanced_core_s99,99,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,8,0.8,0.9,489,0.8465621180155256,0.8139059304703476,0.03265618754517796
advanced_core_s99,99,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,9,0.9,1.0,86774,0.9986108307972751,0.9943416230668173,0.0042692077304578024
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,0,0.0,0.1,365640,0.0022527664336150157,0.7019636801225249,0.6997109136889098
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,1,0.1,0.2,17,0.12361051220028,0.9411764705882353,0.8175659583879553
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,2,0.2,0.30000000000000004,2,0.2086480720499554,1.0,0.7913519279500446
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,3,0.30000000000000004,0.4,15,0.3202072338956305,1.0,0.6797927661043695
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,4,0.4,0.5,4,0.45867658717790305,1.0,0.541323412822097
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,5,0.5,0.6000000000000001,0,,,
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,6,0.6000000000000001,0.7000000000000001,25,0.6502860781841293,1.0,0.3497139218158707
advanced_core_s99,99,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,7,0.7000000000000001,0.8,5,0.7007304411984262,1.0,0.2992695588015738
